Resuming training from epoch 1, with loss 1.6273
Epoch [2/200], Step [0/938], Loss: 8.2602
Epoch [2/200], Step [100/938], Loss: 0.7248
Epoch [2/200], Step [200/938], Loss: 1.1658
Epoch [2/200], Step [300/938], Loss: 1.1962
Epoch [2/200], Step [400/938], Loss: 1.1486
Epoch [2/200], Step [500/938], Loss: 0.9836
Epoch [2/200], Step [600/938], Loss: 1.1232
Epoch [2/200], Step [700/938], Loss: 1.0138
Epoch [2/200], Step [800/938], Loss: 1.0889
Epoch [2/200], Step [900/938], Loss: 0.9641
Epoch [3/200], Step [0/938], Loss: 1.0007
Epoch [3/200], Step [100/938], Loss: 0.6665
Epoch [3/200], Step [200/938], Loss: 1.0993
Epoch [3/200], Step [300/938], Loss: 1.1493
Epoch [3/200], Step [400/938], Loss: 1.1026
Epoch [3/200], Step [500/938], Loss: 0.9630
Epoch [3/200], Step [600/938], Loss: 1.0785
Epoch [3/200], Step [700/938], Loss: 0.9862
Epoch [3/200], Step [800/938], Loss: 1.0419
Epoch [3/200], Step [900/938], Loss: 0.9348
Epoch [4/200], Step [0/938], Loss: 0.9379
Epoch [4/200], Step [100/938], Loss: 0.6354
Epoch [4/200], Step [200/938], Loss: 1.0316
Epoch [4/200], Step [300/938], Loss: 1.0928
Epoch [4/200], Step [400/938], Loss: 1.0490
Epoch [4/200], Step [500/938], Loss: 0.9202
Epoch [4/200], Step [600/938], Loss: 1.0460
Epoch [4/200], Step [700/938], Loss: 0.9504
Epoch [4/200], Step [800/938], Loss: 1.0091
Epoch [4/200], Step [900/938], Loss: 0.9066
Epoch [5/200], Step [0/938], Loss: 0.8879
Epoch [5/200], Step [100/938], Loss: 0.5967
Epoch [5/200], Step [200/938], Loss: 0.9681
Epoch [5/200], Step [300/938], Loss: 1.0303
Epoch [5/200], Step [400/938], Loss: 0.9782
Epoch [5/200], Step [500/938], Loss: 0.8634
Epoch [5/200], Step [600/938], Loss: 1.0229
Epoch [5/200], Step [700/938], Loss: 0.8748
Epoch [5/200], Step [800/938], Loss: 0.9485
Epoch [5/200], Step [900/938], Loss: 0.8163
Epoch [6/200], Step [0/938], Loss: 0.7941
Epoch [6/200], Step [100/938], Loss: 0.5399
Epoch [6/200], Step [200/938], Loss: 0.8717
Epoch [6/200], Step [300/938], Loss: 0.9500
Epoch [6/200], Step [400/938], Loss: 0.9329
Epoch [6/200], Step [500/938], Loss: 0.7953
Epoch [6/200], Step [600/938], Loss: 0.9364
Epoch [6/200], Step [700/938], Loss: 0.8429
Epoch [6/200], Step [800/938], Loss: 0.9167
Epoch [6/200], Step [900/938], Loss: 0.7495
Epoch [7/200], Step [0/938], Loss: 0.7291
Epoch [7/200], Step [100/938], Loss: 0.5031
Epoch [7/200], Step [200/938], Loss: 0.8167
Epoch [7/200], Step [300/938], Loss: 0.9016
Epoch [7/200], Step [400/938], Loss: 0.8660
Epoch [7/200], Step [500/938], Loss: 0.7610
Epoch [7/200], Step [600/938], Loss: 0.9133
Epoch [7/200], Step [700/938], Loss: 0.7784
Epoch [7/200], Step [800/938], Loss: 0.8745
Epoch [7/200], Step [900/938], Loss: 0.7101
Epoch [8/200], Step [0/938], Loss: 0.6701
Epoch [8/200], Step [100/938], Loss: 0.4667
Epoch [8/200], Step [200/938], Loss: 0.7357
Epoch [8/200], Step [300/938], Loss: 0.8085
Epoch [8/200], Step [400/938], Loss: 0.8197
Epoch [8/200], Step [500/938], Loss: 0.7306
Epoch [8/200], Step [600/938], Loss: 0.8697
Epoch [8/200], Step [700/938], Loss: 0.7542
Epoch [8/200], Step [800/938], Loss: 0.8361
Epoch [8/200], Step [900/938], Loss: 0.6827
Epoch [9/200], Step [0/938], Loss: 0.6085
Epoch [9/200], Step [100/938], Loss: 0.4392
Epoch [9/200], Step [200/938], Loss: 0.7064
Epoch [9/200], Step [300/938], Loss: 0.7689
Epoch [9/200], Step [400/938], Loss: 0.7582
Epoch [9/200], Step [500/938], Loss: 0.6867
Epoch [9/200], Step [600/938], Loss: 0.8247
Epoch [9/200], Step [700/938], Loss: 0.7069
Epoch [9/200], Step [800/938], Loss: 0.8009
Epoch [9/200], Step [900/938], Loss: 0.6432
Epoch [10/200], Step [0/938], Loss: 0.5661
Epoch [10/200], Step [100/938], Loss: 0.4186
Epoch [10/200], Step [200/938], Loss: 0.6465
Epoch [10/200], Step [300/938], Loss: 0.7231
Epoch [10/200], Step [400/938], Loss: 0.7347
Epoch [10/200], Step [500/938], Loss: 0.6375
Epoch [10/200], Step [600/938], Loss: 0.7965
Epoch [10/200], Step [700/938], Loss: 0.6654
Epoch [10/200], Step [800/938], Loss: 0.7699
Epoch [10/200], Step [900/938], Loss: 0.6257
Epoch [11/200], Step [0/938], Loss: 0.5299
Epoch [11/200], Step [100/938], Loss: 0.3704
Epoch [11/200], Step [200/938], Loss: 0.5787
Epoch [11/200], Step [300/938], Loss: 0.6831
Epoch [11/200], Step [400/938], Loss: 0.6522
Epoch [11/200], Step [500/938], Loss: 0.5875
Epoch [11/200], Step [600/938], Loss: 0.7439
Epoch [11/200], Step [700/938], Loss: 0.6138
Epoch [11/200], Step [800/938], Loss: 0.7264
Epoch [11/200], Step [900/938], Loss: 0.5811
Epoch [12/200], Step [0/938], Loss: 0.5011
Epoch [12/200], Step [100/938], Loss: 0.3323
Epoch [12/200], Step [200/938], Loss: 0.5109
Epoch [12/200], Step [300/938], Loss: 0.6026
Epoch [12/200], Step [400/938], Loss: 0.6203
Epoch [12/200], Step [500/938], Loss: 0.5351
Epoch [12/200], Step [600/938], Loss: 0.7016
Epoch [12/200], Step [700/938], Loss: 0.5870
Epoch [12/200], Step [800/938], Loss: 0.7133
Epoch [12/200], Step [900/938], Loss: 0.5126
Epoch [13/200], Step [0/938], Loss: 0.4655
Epoch [13/200], Step [100/938], Loss: 0.3129
Epoch [13/200], Step [200/938], Loss: 0.4648
Epoch [13/200], Step [300/938], Loss: 0.5293
Epoch [13/200], Step [400/938], Loss: 0.5841
Epoch [13/200], Step [500/938], Loss: 0.5019
Epoch [13/200], Step [600/938], Loss: 0.6542
Epoch [13/200], Step [700/938], Loss: 0.5072
Epoch [13/200], Step [800/938], Loss: 0.6784
Epoch [13/200], Step [900/938], Loss: 0.4708
Epoch [14/200], Step [0/938], Loss: 0.4046
Resuming training from epoch 12, with loss 0.3074
Epoch [13/200], Step [0/938], Loss: 0.3901
Epoch [13/200], Step [100/938], Loss: 0.2915
Epoch [13/200], Step [200/938], Loss: 0.3961
Epoch [13/200], Step [300/938], Loss: 0.5592
Epoch [13/200], Step [400/938], Loss: 0.5173
Epoch [13/200], Step [500/938], Loss: 0.4950
Epoch [13/200], Step [600/938], Loss: 0.6582
Epoch [13/200], Step [700/938], Loss: 0.4955
Epoch [13/200], Step [800/938], Loss: 0.6318
Epoch [13/200], Step [900/938], Loss: 0.4029
Epoch [14/200], Step [0/938], Loss: 0.3805
Epoch [14/200], Step [100/938], Loss: 0.2504
Epoch [14/200], Step [200/938], Loss: 0.3966
Epoch [14/200], Step [300/938], Loss: 0.4929
Epoch [14/200], Step [400/938], Loss: 0.4843
Epoch [14/200], Step [500/938], Loss: 0.4349
Epoch [14/200], Step [600/938], Loss: 0.5813
Epoch [14/200], Step [700/938], Loss: 0.4631
Epoch [14/200], Step [800/938], Loss: 0.6062
Epoch [14/200], Step [900/938], Loss: 0.3875
Epoch [15/200], Step [0/938], Loss: 0.3871
Epoch [15/200], Step [100/938], Loss: 0.2409
Epoch [15/200], Step [200/938], Loss: 0.3616
Epoch [15/200], Step [300/938], Loss: 0.4666
Epoch [15/200], Step [400/938], Loss: 0.4640
Epoch [15/200], Step [500/938], Loss: 0.4120
Epoch [15/200], Step [600/938], Loss: 0.5798
Epoch [15/200], Step [700/938], Loss: 0.4422
Epoch [15/200], Step [800/938], Loss: 0.5983
Epoch [15/200], Step [900/938], Loss: 0.3346
Epoch [16/200], Step [0/938], Loss: 0.3460
Epoch [16/200], Step [100/938], Loss: 0.2530
Epoch [16/200], Step [200/938], Loss: 0.3110
Epoch [16/200], Step [300/938], Loss: 0.4215
Epoch [16/200], Step [400/938], Loss: 0.4198
Epoch [16/200], Step [500/938], Loss: 0.3825
Epoch [16/200], Step [600/938], Loss: 0.5273
Epoch [16/200], Step [700/938], Loss: 0.4116
Epoch [16/200], Step [800/938], Loss: 0.5624
Epoch [16/200], Step [900/938], Loss: 0.3057
Epoch [17/200], Step [0/938], Loss: 0.3433
Epoch [17/200], Step [100/938], Loss: 0.1976
Epoch [17/200], Step [200/938], Loss: 0.2853
Epoch [17/200], Step [300/938], Loss: 0.3872
Epoch [17/200], Step [400/938], Loss: 0.4219
Epoch [17/200], Step [500/938], Loss: 0.3539
Epoch [17/200], Step [600/938], Loss: 0.5291
Epoch [17/200], Step [700/938], Loss: 0.3957
Epoch [17/200], Step [800/938], Loss: 0.5368
Epoch [17/200], Step [900/938], Loss: 0.2723
Epoch [18/200], Step [0/938], Loss: 0.2907
Epoch [18/200], Step [100/938], Loss: 0.1896
Epoch [18/200], Step [200/938], Loss: 0.2824
Epoch [18/200], Step [300/938], Loss: 0.3859
Epoch [18/200], Step [400/938], Loss: 0.3660
Epoch [18/200], Step [500/938], Loss: 0.3460
Epoch [18/200], Step [600/938], Loss: 0.4990
Epoch [18/200], Step [700/938], Loss: 0.3746
Epoch [18/200], Step [800/938], Loss: 0.5261
Epoch [18/200], Step [900/938], Loss: 0.2649
Epoch [19/200], Step [0/938], Loss: 0.2841
Epoch [19/200], Step [100/938], Loss: 0.1891
Epoch [19/200], Step [200/938], Loss: 0.2629
Epoch [19/200], Step [300/938], Loss: 0.3780
Epoch [19/200], Step [400/938], Loss: 0.3776
Epoch [19/200], Step [500/938], Loss: 0.4066
Epoch [19/200], Step [600/938], Loss: 0.5259
Epoch [19/200], Step [700/938], Loss: 0.3521
Epoch [19/200], Step [800/938], Loss: 0.4977
Epoch [19/200], Step [900/938], Loss: 0.2750
Epoch [20/200], Step [0/938], Loss: 0.2714
Epoch [20/200], Step [100/938], Loss: 0.2110
Epoch [20/200], Step [200/938], Loss: 0.2546
Epoch [20/200], Step [300/938], Loss: 0.3506
Epoch [20/200], Step [400/938], Loss: 0.4130
Epoch [20/200], Step [500/938], Loss: 0.3696
Epoch [20/200], Step [600/938], Loss: 0.4775
Epoch [20/200], Step [700/938], Loss: 0.3749
Epoch [20/200], Step [800/938], Loss: 0.4950
Epoch [20/200], Step [900/938], Loss: 0.2623
Epoch [21/200], Step [0/938], Loss: 0.2832
Epoch [21/200], Step [100/938], Loss: 0.1759
Epoch [21/200], Step [200/938], Loss: 0.2298
Epoch [21/200], Step [300/938], Loss: 0.3409
Epoch [21/200], Step [400/938], Loss: 0.3246
Epoch [21/200], Step [500/938], Loss: 0.3364
Epoch [21/200], Step [600/938], Loss: 0.4265
Epoch [21/200], Step [700/938], Loss: 0.3392
Epoch [21/200], Step [800/938], Loss: 0.4867
Epoch [21/200], Step [900/938], Loss: 0.2384
Epoch [22/200], Step [0/938], Loss: 0.2529
Epoch [22/200], Step [100/938], Loss: 0.1784
Epoch [22/200], Step [200/938], Loss: 0.2142
Epoch [22/200], Step [300/938], Loss: 0.3611
Epoch [22/200], Step [400/938], Loss: 0.3232
Epoch [22/200], Step [500/938], Loss: 0.2993
Epoch [22/200], Step [600/938], Loss: 0.4604
Epoch [22/200], Step [700/938], Loss: 0.3469
Epoch [22/200], Step [800/938], Loss: 0.5103
Epoch [22/200], Step [900/938], Loss: 0.2304
Epoch [23/200], Step [0/938], Loss: 0.2460
Epoch [23/200], Step [100/938], Loss: 0.1819
Epoch [23/200], Step [200/938], Loss: 0.2101
Epoch [23/200], Step [300/938], Loss: 0.3579
Epoch [23/200], Step [400/938], Loss: 0.3362
Epoch [23/200], Step [500/938], Loss: 0.3154
Epoch [23/200], Step [600/938], Loss: 0.4733
Epoch [23/200], Step [700/938], Loss: 0.3793
Epoch [23/200], Step [800/938], Loss: 0.4990
Epoch [23/200], Step [900/938], Loss: 0.2339

Resuming training from epoch 22, with loss 0.1545
Epoch [23/200], Step [0/938], Loss: 0.2742
Epoch [23/200], Step [100/938], Loss: 0.1548
Epoch [23/200], Step [200/938], Loss: 0.2033
